Data Series,2025 Feb ,2025 Jan ,2024 Dec ,2024 Nov ,2024 Oct ,2024 Sep ,2024 Aug ,2024 Jul ,2024 Jun ,2024 May ,2024 Apr ,2024 Mar ,2024 Feb ,2024 Jan ,2023 Dec ,2023 Nov ,2023 Oct ,2023 Sep ,2023 Aug ,2023 Jul ,2023 Jun ,2023 May ,2023 Apr ,2023 Mar ,2023 Feb ,2023 Jan ,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan 
      Other Fuel & Lubricants For Personal Transport Equipment,101.506,100.385,98.814,99.197,99.48,99.112,99.251,101.1,99.824,101.261,101.497,100.608,100.926,98.978,99.244,101.476,103.217,102.196,97.514,91.696,90.978,90.942,95.072,97.539,99.821,100.794,100.563,105.341,104.886,105.648,106.596,111.477,115.687,111.083,104.824,102.651,89.16,84.79,82.55,83.819,82.131,79.893,79.675,79.669,77.232,76.235,74.928,75.543,73.387,70.665,69.212,67.938,67.997,68.157,67.938,67.756,66.922,65.357,67.927,71.181,75.451,76.409,76,74.753,74.272,74.01,73.192,73.482,73.728,75.325,74.571,72.652,69.823,68.841,70.691,72.349,73.73,72.369,71.443,70.533,70.424,70.163,69.289,68.734,69.006,68.871,67.802,67.869,66.842,66.087,64.904,64.542,64.796,65.737,65.721,65.483,63.756,62.213
      Maintenance & Repair Of Personal Transport Equipment,103.532,104.027,103.532,103.469,103.469,103.469,103.469,103.469,97.517,96.3,96.27,96.27,96.468,96.301,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Services In Respect Of Personal Transport Equipment,100.873,100.14,99.933,100.311,100.278,100.509,100.087,100.289,99.475,99.551,99.971,99.87,99.949,99.777,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Insurance Connected With Transport,103.212,103.212,103.212,103.212,103.212,99.744,99.744,99.744,98.962,98.962,98.962,98.081,98.081,98.081,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Land Transport Services,105.271,103.822,101.323,100.295,101.6,100.482,99.261,98.946,99.397,99.205,99.452,101.149,99.886,99.007,95.406,92.98,93.628,93.447,93.037,92.87,93.053,92.866,93.091,94.014,94.746,94.503,93.114,92.256,92.386,92.014,91.275,91.07,91.786,90.999,89.169,88.683,87.296,87.537,85.586,84.466,84.947,84.784,84.674,84.179,83.707,84.957,84.599,84.964,84.223,84.159,83.521,83.306,83.175,83.155,82.942,82.413,82.197,82.427,82.753,83.17,84.34,84.224,81.533,80.652,80.461,80.43,80.242,80.366,80.243,80.547,80.58,81.17,80.805,80.83,78.896,78.691,78.668,78.668,78.681,78.668,78.725,78.668,78.663,78.668,78.822,78.658,79.523,79.52,79.527,79.52,79.529,79.516,79.557,79.521,79.558,79.505,79.531,79.619
      Bus & Train Fares,105.937,105.937,100.706,99.936,99.936,99.936,99.936,99.936,99.936,99.936,99.936,99.936,99.936,99.936,95.319,93.435,93.435,93.435,93.435,93.435,93.435,93.435,93.435,93.435,93.435,93.435,91.281,90.781,90.781,90.781,90.781,90.781,90.781,90.781,90.781,90.781,90.781,90.781,89.204,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,88.858,83.78,83.011,83.011,83.011,83.011,83.011,83.011,83.011,83.011,83.011,83.011,83.011,79.855,79.547,79.547,79.547,79.547,79.547,79.547,79.547,79.547,79.547,79.547,79.547,81.16,81.315,81.315,81.315,81.315,81.315,81.315,81.315,81.315,81.315,81.315,81.315
      Point-To-Point Transport Services,104.505,101.278,102.341,100.826,103.973,101.242,98.224,97.641,98.666,98.251,98.804,102.864,99.345,97.828,95.269,91.847,93.601,93.203,92.256,91.847,92.046,91.756,92.017,94.455,96.082,94.82,95.235,94.078,94.341,93.627,91.641,91.192,92.733,90.899,87.309,86.155,82.932,83.541,80.919,78.707,79.89,79.519,79.276,78.131,77.005,79.962,79.152,80.007,78.265,78.137,76.602,76.111,75.818,75.752,75.262,74.039,73.514,74.06,74.851,75.704,78.164,77.083,77.352,76.338,75.96,75.916,75.349,75.765,75.442,76.105,76.248,77.743,76.517,76.989,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31
      Commuting Fares,104.111,104.111,100,100,100,100,100,100,100,100,100,100,100,100,94.545,94.545,94.545,94.545,94.545,94.545,94.545,94.545,94.545,94.545,94.545,94.545,90.658,90.658,90.658,90.121,90.121,90.121,90.121,90.121,90.121,90.121,90.121,90.121,89.224,89.224,89.224,89.224,89.224,89.224,89.224,89.224,89.224,89.224,89.224,89.224,89.452,89.452,89.452,89.452,89.452,89.452,89.452,89.452,89.452,90.299,90.299,90.299,89.809,89.809,89.809,89.809,89.809,89.809,89.809,89.809,89.809,89.809,89.809,89.809,89.352,89.352,89.352,89.352,89.352,89.352,89.352,89.352,89.352,89.352,89.352,89.352,88.258,88.258,88.258,88.258,88.258,88.258,88.258,88.258,88.258,88.258,88.258,88.118
      Other Land Transport Services,105.694,100.486,99.38,99.492,99.812,100.172,101.184,97.93,99.151,98.238,99.066,100.078,108.299,97.201,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Transport Services,99.218,104.51,106.075,99.649,97.457,96.653,98.607,97.892,100.433,98.506,99.349,100.317,102.961,102.103,108.159,102.323,100.252,100.572,101.109,102.244,103.619,101.789,103.856,100.644,100.907,109.988,110.711,107.399,106.934,104.208,104.307,104.825,103.166,99.315,102.91,113.985,107.274,107.792,110.733,100.635,94.324,92.395,92.029,91.54,91.665,91.685,91.009,91.128,90.934,90.446,90.445,90.128,89.777,90.155,89.895,89.347,89.629,89.608,88.998,89.761,90.08,96.574,96.539,90.982,91.868,90.539,93.419,92.114,93.344,92.419,93.738,91.448,97.102,95.453,97.55,92.297,91.226,91.14,91.887,90.941,93.457,91.301,92.387,91.92,95.802,91.149,95.071,91.009,90.21,89.617,90.31,90.215,91.277,89.16,91.889,90.574,91.675,94.081
      Airfares,99.281,104.65,106.286,99.741,97.441,96.587,98.555,97.878,100.473,98.369,99.262,100.344,103.04,102.026,108.419,102.412,100.126,100.522,101.213,102.288,103.701,101.807,103.94,100.714,100.9,110.336,110.96,107.626,107.155,104.433,104.601,104.939,103.161,99.047,100.816,110.034,108.502,109.037,111.93,101.471,94.949,92.968,92.58,92.074,92.248,92.258,91.525,91.682,91.48,90.962,90.989,90.662,90.301,90.691,90.393,89.828,90.115,90.097,89.676,90.508,90.924,97.544,97.525,91.893,92.73,91.358,94.343,93.038,94.334,93.302,94.619,92.253,98.101,96.421,98.635,93.156,92.039,91.949,92.695,91.72,94.392,92.129,93.222,92.798,96.857,91.979,96.101,91.884,90.977,90.328,91.051,90.919,92.075,89.867,92.711,91.377,92.498,95.003
      Seafares,99.486,99.44,99.396,99.69,99.477,99.477,99.602,99.683,100.642,100.447,100.356,100.429,100.447,100.356,100.799,100.629,100.342,100.342,97.616,97.846,97.903,97.616,98.516,97.846,97.846,97.846,98.948,97.846,94.805,94.805,94.805,94.805,103.894,110.05,185.009,270.577,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,66.909,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.623,63.98,63.623,63.623,64.96,64.96,64.96,64.96,64.96,64.96,64.96,63.585,63.585,63.585
      Travel Insurance,90.865,91.552,85.518,87.719,97.436,102.403,104.374,97.932,95.083,114.206,109.56,96.751,95.24,113.778,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Transport Services Of Goods,101.122,99.998,98.516,98.267,99.194,98.763,97.738,99.159,105.966,96.775,100.365,103.405,100.316,101.538,98.358,98.196,96.758,92.712,92.722,92.656,92.926,93.272,91.791,91.433,92.164,91.696,89.306,89.909,90.798,90.953,91.119,90.127,90.102,90.362,89.85,90.227,87.913,87.646,87.389,87.937,87.769,87.986,88.25,88.117,88.458,87.131,87.605,87.715,87.468,87.914,87.718,87.718,90.231,93.241,93.241,93.241,90.966,93.241,93.241,93.241,93.241,93.241,90.65,90.741,90.979,90.979,90.979,90.979,90.979,90.979,90.979,90.979,90.979,90.979,89.597,89.597,89.597,89.597,89.597,89.597,89.597,89.597,89.597,89.597,89.597,89.597,87.282,87.282,87.282,87.282,87.282,87.282,87.282,87.282,87.282,87.282,87.282,87.282
  Information & Communication,99.679,99.902,100.103,100.168,100.467,99.939,99.642,99.853,99.648,100.276,99.856,99.815,100.14,100.095,100.134,100.312,100.223,100.149,98.33,98.836,98.521,99.462,99.298,98.786,99.194,97.786,96.809,96.855,97.12,96.909,96.459,96.051,96.115,96.585,96.783,96.331,96.396,97.086,97.372,97.5,97.232,96.832,97.444,96.64,96.497,96.828,97.146,98.156,98.956,98.701,98.38,98.335,98.622,98.977,99.36,98.276,96.897,96.894,97.731,97.73,98.478,97.672,97.704,97.814,97.887,97.25,97.702,97.375,97.276,97.749,98.497,98.286,98.235,97.712,97.665,97.662,99.15,98.821,98.917,100.403,99.581,99.369,99.091,98.993,100.18,100.118,99.951,100.488,100.483,100.474,100.062,100.144,99.456,99.969,100.245,99.216,100.214,99.405
    Information & Communication Equipment,98.278,99.389,100.038,100.791,101.324,100.408,99.704,100.607,99.099,99.725,99.783,99.611,99.746,99.164,98.868,99.401,98.736,99.015,97.256,99.498,99.453,99.935,101.348,100.862,101.345,99.996,98.894,100.109,100.807,100.208,97.751,97.61,99.627,101.057,102.902,102.922,99.312,100.265,100.209,99.111,98.524,97.112,97.508,94.344,92.863,96.571,97.717,98.443,100.315,101.352,101.056,101.128,99.612,100.896,101.359,97.999,96.166,97.083,98.702,102.675,100.707,100.994,101.053,103.919,104.625,102.084,100.394,98.477,100.559,104.101,105.213,105.213,104.684,103.5,106.045,106.067,109.22,108.199,111.493,110.741,111.879,110.869,110.623,110.532,111.36,112.608,111.008,112.793,113.198,113.643,111.966,112.765,113.528,111.215,111.751,111.275,112.949,111.939
      Mobile Telephone Equipment,93.263,97.43,99.302,100.939,101.462,99.315,97.381,99.912,99.371,99.504,100.26,100.374,100.81,101.37,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Information Processing Equipment,100.751,100.751,100.914,101.228,101.228,101.228,100.575,100.575,99.973,99.307,98.771,99.264,99.264,97.673,97.315,97.538,97.538,96.97,96.296,95.953,95.879,96.293,96.089,95.85,97.535,96.744,95.957,95.957,96.744,96.465,98.508,97.995,97.953,98.637,99.615,99.177,95.767,96.034,97.344,97.812,99.716,100.598,100.819,98.404,97.356,98.715,97.217,97.777,99.193,100.674,99.929,100.995,100.887,101.951,103.144,102.815,103.014,102.001,102.652,101.606,100.779,100.567,101.265,103.436,102.919,102.984,102.583,102.26,103.767,103.223,103.533,103.571,103.029,104.312,102.984,101.871,101.872,103.693,104.072,104.256,104.152,105.045,105.16,103.913,104.88,103.306,101.836,102.915,103.189,106.137,104.532,105.139,104.841,104.777,103.877,102.411,105.259,101.927
"      Equipment For The Reception, Recording & Reproduction Of Sound & Vision",102.111,101.857,102.2,102.007,101.799,100.688,101.138,101.288,97.052,98.973,98.891,99.043,99.089,97.832,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Unrecorded Recording Media,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.616,83.616,83.616,83.616,83.616,83.616,83.616,87.284,87.284,87.284,87.284,87.284,86.611,86.611,86.611,86.611,86.611,86.611,86.611,86.611,86.611,86.611,86.611,86.611,82.957,82.957,82.957,83.232,73.329,73.329,81.787,89.936,84.281,84.281,94.214,96.545,92.185,94.516,96.545,96.545,96.545,96.545,96.545,91.504,97.775,97.775,89.4,89.4,89.4,89.4,89.4,89.4,89.4,81.583,90.212,90.212,90.212,91.241,91.241,93.599,95.853,101.41,102.689,119.723,119.723,119.723,119.723,119.723,119.723,119.723,120.103,120.103,120.103,120.103,120.103,120.103,120.103,120.103,119.112,119.112,116.907,114.546,114.546,114.546
      Information & Communication Equipment & Accessories Nec,98.302,95.798,94.564,96.04,100.131,100.983,101.46,101.508,100.345,103.59,103.445,99.41,99.156,99.371,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Software Excl Games,100,100,100,100,100,100,100,100,100,100,100,100,100,100,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.031,103.334,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012,101.012
    Information & Communication Services,100.12,100.064,100.125,99.972,100.2,99.79,99.619,99.612,99.818,100.453,99.878,99.878,100.266,100.391,100.344,100.461,100.473,100.336,98.5,98.704,98.34,99.365,98.924,98.405,98.802,97.377,96.418,96.26,96.45,96.307,96.207,95.749,95.472,95.776,95.686,95.15,95.859,96.506,96.852,97.196,96.983,96.758,97.411,97.017,97.107,96.848,97.023,98.086,98.703,98.219,97.893,97.828,98.431,98.624,98.996,98.305,96.999,96.836,97.54,96.843,98.07,97.069,97.097,96.724,96.687,96.38,97.209,97.159,96.679,96.616,97.303,97.055,97.086,96.678,96.232,96.233,97.46,97.241,96.831,98.674,97.54,97.454,97.171,97.071,98.318,98.048,98.108,98.447,98.378,98.297,98.084,98.053,97.134,98.095,98.33,97.212,98.106,97.326
      Fixed Communication Services,100,100,100,100,100,100,100,100,100,100,100,100,100,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Mobile Communication Services,99.679,99.69,99.895,99.761,100.694,100.694,100.443,100.443,100.443,99.526,99.526,99.526,99.526,99.526,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Internet, Bundled & Other Telecommunication Services",100.451,100.334,100.284,100.099,99.902,99.114,98.884,98.87,99.266,101.241,100.134,100.134,100.882,101.193,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Information & Communication Services Nec,100.528,100.528,100.528,100.528,98.939,98.939,100.247,100.247,100.247,100.247,100.247,100.247,100.247,99.343,99.174,99.174,99.174,99.174,99.174,97.867,97.867,97.867,97.867,97.867,97.867,97.867,97.136,97.136,96.259,96.259,96.259,96.259,92.191,92.191,92.191,94.585,94.585,94.585,93.407,95.747,94.585,89.273,95.153,89.249,87.698,87.624,95.884,95.884,95.884,95.884,95.884,96.35,96.35,96.35,96.35,96.35,96.35,96.35,96.35,96.35,96.35,96.35,94.682,94.682,94.682,94.682,93.805,93.805,93.805,93.805,93.805,93.805,93.805,93.805,95.187,95.187,95.187,95.187,95.187,95.187,94.877,94.877,94.877,94.877,94.877,94.877,94.877,94.877,94.877,94.877,94.877,94.877,94.877,94.877,95.187,95.125,95.125,83.172
"  Recreation, Sport & Culture",97.342,97.135,101.123,99.564,99.52,101.583,101.68,100.133,101.336,100.321,99.794,98.707,98.401,97.839,101.105,98.475,98.064,96.976,97.29,97.025,96.312,95.296,95.33,93.872,92.827,92.983,94.67,92.819,92.283,92.559,92.037,90.531,90.789,89.164,87.99,87.364,86.408,86.577,87.413,87.128,86.906,86.759,86.366,86.177,86.245,86.12,85.65,85.597,85.757,85.464,85.609,85.353,84.899,85.233,85.06,84.703,84.928,84.965,84.661,85.095,85.625,86.553,87.746,87.057,86.823,86.386,86.46,86.709,87.495,86.593,87.218,86.626,86.704,85.81,87.221,85.953,85.955,85.5,85.506,85.339,85.559,84.78,84.873,84.444,85.27,84.579,85.568,84.879,84.742,84.212,84.052,83.786,84.276,83.739,84.182,83.926,83.746,84.22
    Recreation & Cultural Goods,99.597,99.597,98.98,98.591,99.262,99.884,99.884,99.884,100.9,100.9,100.9,100.274,100.274,100.274,98.39,98.84,99.206,101.337,99.726,100.034,101.675,100.794,100.794,98.712,100.512,100.863,100.203,100.561,99.37,100.065,99.32,99.234,98.888,98.888,98.888,97.524,97.378,97.255,96.618,96.618,96.275,96.75,96.381,96.852,96.305,96.517,97.508,98.479,98.479,98.385,97.971,97.762,96.909,97.404,97.218,97.271,96.943,95.48,93.898,94.124,94.971,95.475,94.24,95.019,97.011,96.442,96.466,96.407,94.227,94.229,97.532,97.413,97.413,96.825,97.113,97.086,97.501,97.738,97.343,97.103,96.726,97.321,97.883,98.043,97.763,97.788,98.97,98.664,98.507,98.752,99.297,99.26,95.945,95.853,95.939,95.845,95.845,94.747
    Other Recreational Goods,97.566,99.056,98.764,98.236,99.786,100.282,101.098,100.197,100.387,99.746,98.666,100.183,100.862,101.795,100.832,101.34,102.56,101.417,100.608,100.877,102.198,102.229,102.86,102.502,101.268,100.049,99.113,101.079,102.277,101.131,101.609,102.232,101.78,100.906,102.531,101.679,99.404,99.832,99.513,99.923,99.745,100.935,102.218,101.241,98.023,100.235,99.823,100.209,100.298,100.047,101.196,101.912,100.049,101.889,101.672,101.77,102.021,102.502,101.598,102.413,101.982,101.402,99.574,101.373,101.786,101.042,102.468,103.422,102.987,102.97,101.297,100.392,100.546,100.443,98.159,99.533,99.826,99.684,100.308,100.273,97.989,99.26,100.199,100.83,101.562,102.107,100.224,100.987,102.199,101.778,101.744,100.708,100.302,103.381,103.068,101.696,101.298,101.457
"      Games, Toys & Hobbies",95.763,97.741,97.199,97.311,99.48,100.281,101.501,101.28,100.571,100.022,98.023,100.395,101.352,102.587,100.991,101.62,103.128,101.82,100.988,100.289,101.694,101.806,102.626,102.142,100.857,99.515,98.192,100.22,102.238,100.738,101.22,102.302,101.548,100.421,102.548,101.496,98.731,99.325,99.034,101.194,101.133,101.852,103.124,102.166,97.519,100.2,99.864,100.947,101.127,100.487,101.804,102.78,100.501,103.115,102.918,102.557,103.297,103.743,102.962,103.549,102.995,102.091,99.325,101.521,102.2,101.338,103.443,103.729,103.469,103.253,101.014,100.204,100.224,99.79,97.609,99.163,99.135,98.83,99.443,99.294,97.138,98.577,99.287,100.52,101.101,101.684,99.782,100.652,101.992,102.025,101.265,100.234,100.042,103.764,103.426,101.798,101.043,101.167
"      Equipment For Sport, Camping & Open-Air Recreation",102.373,102.564,102.936,100.704,100.601,100.283,100.022,97.31,99.897,99.011,100.381,99.616,99.557,99.684,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Garden Products & Pets,100.866,100.56,99.971,100.26,100.55,100.174,100.263,99.77,100.402,100.382,100.463,98.659,98.764,100.341,100.757,100.562,100.386,99.387,98.997,99.422,98.885,98.922,98.479,97.317,96.873,97.107,95.347,95.433,95.015,94.045,92.345,91.78,91.164,90.809,90.778,90.142,90.121,90.01,89.672,89.117,89.024,88.26,88.096,88.14,88.439,88.538,88.628,88.606,88.379,88.681,88.13,88.411,88.347,88.055,87.477,87.219,87.272,87.191,86.937,87.416,87.594,87.175,87.11,87.16,87.312,86.996,86.972,86.19,86.294,86.459,86.315,86.046,86.497,86.724,86.506,86.27,86.039,86.202,85.773,86.088,86.111,86.349,86.392,85.853,86.027,84.405,85.332,85.13,84.844,84.583,85.203,84.401,84.555,84.377,84.938,84.111,85.211,84.911
"      Garden Products, Plants & Flowers",101.45,101.309,100.587,100.587,100.587,100,100.129,99.759,100.021,99.97,101.001,99.309,99.588,98.462,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Pets & Products For Pets,100.62,100.244,99.712,100.123,100.534,100.247,100.319,99.775,100.563,100.555,100.237,98.385,98.417,101.132,102.915,102.765,102.487,101.813,101.223,101.481,100.657,100.717,99.83,97.955,97.393,97.735,95.983,95.999,95.259,94.541,92.277,92.417,91.556,91.648,91.677,90.8,90.929,90.749,90.591,90.435,90.458,89.886,89.606,89.678,90.067,89.759,89.919,89.684,89.369,90.115,89.549,89.996,90.173,90.5,89.748,89.475,89.637,89.574,89.189,89.62,89.855,89.172,89.613,89.713,89.936,89.446,89.515,88.163,89.007,89.172,88.937,89.275,89.989,90.365,90.103,89.718,89.358,89.672,88.887,89.401,89.464,89.759,89.881,88.95,88.907,87.407,88.886,88.554,88.089,87.754,88.676,87.269,87.77,87.349,88.387,86.916,88.899,88.063
    Recreational Services,100.201,100.341,100.537,100.342,100.248,101.403,101.604,101.6,101.338,100.425,100.278,97.454,97.431,97.343,93.916,93.619,93.349,92.457,92.444,92.84,93.081,92.721,92.022,91.545,91.533,90.989,89.015,88.9,89.101,88.868,89.096,89.108,88.623,88.313,88.098,86.828,85.59,85.557,84.595,84.573,84.535,84.319,84.198,84.018,84.027,84.035,84.016,83.788,83.708,83.695,82.864,82.671,82.7,82.296,82.191,81.972,82.254,82.254,82.241,82.286,82.272,82.376,82.364,82.297,82.307,82.535,82.596,82.662,82.676,82.764,82.921,82.928,82.855,82.882,81.588,81.472,80.508,80.72,81.372,81.098,81.186,81.223,81.182,81.284,81.277,81.321,81.003,80.982,81.454,80.844,80.591,80.587,80.757,81.439,81.435,80.423,80.388,80.283
      Other Recreational Services,102.874,102.874,102.874,102.874,102.874,102.874,102.874,102.874,97.127,97.127,97.127,97.127,97.127,97.127,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Veterinary & Other Services For Pets,103.121,103.121,103.121,103.121,103.121,100.513,100.513,100.513,100.513,100.513,100.513,95.853,95.853,95.853,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Recreational & Sporting Services,99.842,99.999,100.22,100,99.895,101.459,101.685,101.681,101.52,100.493,100.328,97.624,97.598,97.499,93.813,93.493,93.201,92.274,92.26,92.686,92.947,92.559,91.804,91.362,91.348,90.761,88.906,88.782,88.999,88.826,89.071,89.084,88.561,88.226,87.993,86.874,85.538,85.502,84.475,84.451,84.409,84.269,84.138,83.943,83.953,83.963,83.942,83.876,83.79,83.777,82.88,82.67,82.702,82.327,82.214,81.978,82.288,82.288,82.288,82.337,82.321,82.434,82.623,82.551,82.561,82.929,82.994,83.066,83.081,83.175,83.345,83.382,83.303,83.332,82.003,81.878,80.835,81.064,81.77,81.474,81.58,81.62,81.577,81.687,81.679,81.728,81.383,81.36,81.871,81.21,80.936,80.933,81.327,82.064,82.061,80.965,80.927,80.813
